reporter_code,partner_code,commodity_code,year,trade_flow,value_usd,quantity_kg
USA,W00,27,2013,Import,389365179878.0,
USA,W00,27,2013,Export,148872444476.0,
USA,W00,27,2014,Import,358259446903.0,
USA,W00,27,2014,Export,155608248140.0,
USA,W00,27,2015,Import,200696083561.0,
USA,W00,27,2015,Export,104105881821.0,
USA,W00,27,2016,Import,163138185187.0,
USA,W00,27,2016,Export,94005493862.0,
USA,W00,27,2017,Import,204019056862.0,
USA,W00,27,2017,Export,139082249161.0,
USA,W00,27,2018,Import,241728103047.0,
USA,W00,27,2018,Export,192681236067.0,
USA,W00,27,2019,Import,210111735980.0,
USA,W00,27,2019,Export,199735686233.0,
USA,W00,27,2020,Import,130118461274.0,
USA,W00,27,2020,Export,155092241024.0,
USA,W00,27,2021,Import,223932092237.0,
USA,W00,27,2021,Export,239780823659.0,
USA,W00,27,2022,Import,322698860015.0,
USA,W00,27,2022,Export,378564312024.0,
USA,W00,27,2023,Import,266592032220.0,
USA,W00,27,2023,Export,323170541814.0,
USA,W00,84,2013,Import,311300329389.0,
USA,W00,84,2013,Export,213482188398.0,
USA,W00,84,2014,Import,331205458062.0,
USA,W00,84,2014,Export,219766258659.0,
USA,W00,84,2015,Export,206100142194.0,
USA,W00,84,2015,Import,330044570117.0,
USA,W00,84,2016,Import,315350474948.0,
USA,W00,84,2016,Export,190945120956.0,
USA,W00,84,2017,Import,348601309246.0,
USA,W00,84,2017,Export,202060699153.0,
USA,W00,84,2018,Export,213377247839.0,
USA,W00,84,2018,Import,385903156133.0,
USA,W00,84,2019,Export,205879700261.0,
USA,W00,84,2019,Import,379040915551.0,
USA,W00,84,2020,Import,361551454128.0,
USA,W00,84,2020,Export,182585530775.0,
USA,W00,84,2021,Import,428828679646.0,
USA,W00,84,2021,Export,209284552323.0,
USA,W00,84,2022,Export,229594064757.0,
USA,W00,84,2022,Import,475932653125.0,
USA,W00,84,2023,Export,233009958652.0,
USA,W00,84,2023,Import,459195220449.0,
USA,W00,85,2013,Import,303213066899.0,
USA,W00,85,2013,Export,165841745974.0,
USA,W00,85,2014,Import,319671074894.0,
USA,W00,85,2014,Export,172368326841.0,
USA,W00,85,2015,Export,169956050124.0,
USA,W00,85,2015,Import,333525810290.0,
USA,W00,85,2016,Export,166964105033.0,
USA,W00,85,2016,Import,335582652015.0,
USA,W00,85,2017,Import,355997429299.0,
USA,W00,85,2017,Export,174299564120.0,
USA,W00,85,2018,Export,176302382688.0,
USA,W00,85,2018,Import,366942844394.0,
USA,W00,85,2019,Export,173185141484.0,
USA,W00,85,2019,Import,352305358914.0,
USA,W00,85,2020,Import,343474039898.0,
USA,W00,85,2020,Export,162884379108.0,
USA,W00,85,2021,Import,415975908110.0,
USA,W00,85,2021,Export,185404506941.0,
USA,W00,85,2022,Import,477145907275.0,
USA,W00,85,2022,Export,197748996567.0,
USA,W00,85,2023,Export,200654688507.0,
USA,W00,85,2023,Import,463363545006.0,
USA,W00,87,2013,Import,253081966355.0,
USA,W00,87,2013,Export,134084551978.0,
USA,W00,87,2014,Import,265323956439.0,
USA,W00,87,2014,Export,135972388386.0,
USA,W00,87,2015,Export,127396967732.0,
USA,W00,87,2015,Import,284383662404.0,
USA,W00,87,2016,Import,284712023471.0,
USA,W00,87,2016,Export,124702176827.0,
USA,W00,87,2017,Import,294283171951.0,
USA,W00,87,2017,Export,130406803876.0,
USA,W00,87,2018,Export,130730673450.0,
USA,W00,87,2018,Import,306526967076.0,
USA,W00,87,2019,Export,133040763969.0,
USA,W00,87,2019,Import,310085730639.0,
USA,W00,87,2020,Import,254436751363.0,
USA,W00,87,2020,Export,105158056180.0,
USA,W00,87,2021,Import,283108563711.0,
USA,W00,87,2021,Export,122202361060.0,
USA,W00,87,2022,Import,329648232159.0,
USA,W00,87,2022,Export,134886248740.0,
USA,W00,87,2023,Export,152826672481.0,
USA,W00,87,2023,Import,381037566330.0,
USA,W00,30,2013,Import,63313660043.0,
USA,W00,30,2013,Export,39708540935.0,
USA,W00,30,2014,Import,73042298937.0,
USA,W00,30,2014,Export,43995519899.0,
USA,W00,30,2015,Export,47293310441.0,
USA,W00,30,2015,Import,86014133354.0,
USA,W00,30,2016,Import,92512012582.0,
USA,W00,30,2016,Export,46828627045.0,
USA,W00,30,2017,Import,96879110876.0,
USA,W00,30,2017,Export,44936430945.0,
USA,W00,30,2018,Export,48345552717.0,
USA,W00,30,2018,Import,115634521729.0,
USA,W00,30,2019,Export,53561670461.0,
USA,W00,30,2019,Import,128237981033.0,
USA,W00,30,2020,Import,139518097697.0,
USA,W00,30,2020,Export,53938940706.0,
USA,W00,30,2021,Import,149499507717.0,
USA,W00,30,2021,Export,77962125336.0,
USA,W00,30,2022,Import,164993417087.0,
USA,W00,30,2022,Export,83492754665.0,
USA,W00,30,2023,Export,90308212767.0,
USA,W00,30,2023,Import,177848475884.0,
GBR,W00,27,2013,Export,62365065840.0,
GBR,W00,27,2013,Import,88193719368.0,
GBR,W00,27,2014,Export,55018454636.0,
GBR,W00,27,2014,Import,81005574964.0,
GBR,W00,27,2015,Export,32985991219.0,
GBR,W00,27,2015,Import,50956566790.0,
GBR,W00,27,2016,Import,39729084307.0,
GBR,W00,27,2016,Export,25744099324.0,
GBR,W00,27,2017,Import,51655153786.96,
GBR,W00,27,2017,Export,35362905389.86,
GBR,W00,27,2018,Import,67256740700.91,
GBR,W00,27,2018,Export,46430792235.8,
GBR,W00,27,2019,Import,10696764478.77,
GBR,W00,27,2019,Export,40885436338.72,
GBR,W00,27,2020,Import,13553290.29,
GBR,W00,27,2020,Export,26344932241.3,
GBR,W00,27,2021,Import,70266167358.35,
GBR,W00,27,2021,Export,37743223972.26,
GBR,W00,27,2022,Import,42366.48,
GBR,W00,27,2022,Export,1370306.48,
GBR,W00,84,2013,Export,70532996908.0,
GBR,W00,84,2013,Import,79287088966.0,
GBR,W00,84,2014,Export,71611243874.0,
GBR,W00,84,2014,Import,85515716984.0,
GBR,W00,84,2015,Export,64402455852.0,
GBR,W00,84,2015,Import,77685926709.0,
GBR,W00,84,2016,Import,76132847220.0,
GBR,W00,84,2016,Export,60334401338.0,
GBR,W00,84,2017,Export,65387356993.7,
GBR,W00,84,2017,Import,699867.52,
GBR,W00,84,2018,Import,86138405333.51,
GBR,W00,84,2018,Export,72382470665.21,
GBR,W00,84,2019,Export,73129405570.77,
GBR,W00,84,2019,Import,12955.05,
GBR,W00,84,2020,Export,60526863644.76,
GBR,W00,84,2020,Import,615246478.7,
GBR,W00,85,2013,Export,30928795455.0,
GBR,W00,85,2013,Import,58777172439.0,
GBR,W00,85,2014,Export,31900653819.0,
GBR,W00,85,2014,Import,61616513522.0,
GBR,W00,85,2015,Export,29127478959.0,
GBR,W00,85,2015,Import,60562037222.0,
GBR,W00,85,2016,Import,57569288050.0,
GBR,W00,85,2016,Export,26836761996.0,
GBR,W00,85,2017,Export,28458544609.06,
GBR,W00,85,2017,Import,234924.18,
GBR,W00,85,2018,Import,63561741149.62,
GBR,W00,85,2018,Export,28873806274.95,
GBR,W00,85,2019,Export,28381002716.09,
GBR,W00,85,2019,Import,30418.82,
GBR,W00,85,2020,Export,25016311954.36,
GBR,W00,85,2020,Import,56154329066.93,
GBR,W00,87,2013,Export,50994805705.0,
GBR,W00,87,2013,Import,66131322167.0,
GBR,W00,87,2014,Export,54409455411.0,
GBR,W00,87,2014,Import,76382455653.0,
GBR,W00,87,2015,Export,50740491354.0,
GBR,W00,87,2015,Import,78111170621.0,
GBR,W00,87,2016,Import,74176908650.0,
GBR,W00,87,2016,Export,51311031797.0,
GBR,W00,87,2017,Import,73446102820.94,
GBR,W00,87,2017,Export,53731073134.18,
GBR,W00,87,2018,Import,75082615106.41,
GBR,W00,87,2018,Export,54702459276.39,
GBR,W00,87,2019,Export,50491929906.73,
GBR,W00,87,2019,Import,2573927529.86,
GBR,W00,87,2020,Import,202920.87,
GBR,W00,87,2020,Export,36353668451.47,
GBR,W00,87,2021,Import,62363871376.55,
GBR,W00,87,2021,Export,40513295820.64,
GBR,W00,87,2022,Import,237936.14,
GBR,W00,87,2022,Export,67998561.74,
GBR,W00,30,2013,Export,32094368469.0,
GBR,W00,30,2013,Import,27728497911.0,
GBR,W00,30,2014,Export,33567372753.0,
GBR,W00,30,2014,Import,33727712249.0,
GBR,W00,30,2015,Export,35973438160.0,
GBR,W00,30,2015,Import,33744349262.0,
GBR,W00,30,2016,Import,32754072887.0,
GBR,W00,30,2016,Export,32579904718.0,
GBR,W00,30,2017,Export,32714026730.74,
GBR,W00,30,2017,Import,2772.68,
GBR,W00,30,2018,Import,30268870062.68,
GBR,W00,30,2018,Export,30082207273.11,
GBR,W00,30,2019,Import,27996207774.75,
GBR,W00,30,2019,Export,27124152647.05,
GBR,W00,30,2020,Export,24947757351.4,
GBR,W00,30,2020,Import,2653189029.98,
GBR,W00,30,2021,Export,26067595568.62,
GBR,W00,30,2021,Import,3548049607.63,
GBR,W00,30,2022,Import,6035203.54,
GBR,W00,30,2022,Export,671201.59,
DEU,W00,27,2013,Import,40096941.32,
DEU,W00,27,2013,Export,36403369057.9,
DEU,W00,27,2014,Import,1.33,
DEU,W00,27,2014,Export,35393106543.54,
DEU,W00,27,2015,Import,99639046490.16,
DEU,W00,27,2015,Export,29770087213.37,
DEU,W00,27,2016,Import,3.32,
DEU,W00,27,2016,Export,23076041324.92,
DEU,W00,27,2017,Import,114.07,
DEU,W00,84,2013,Import,93422.74,
DEU,W00,84,2013,Export,250238898285.06,
DEU,W00,84,2014,Import,151729.22,
DEU,W00,84,2014,Export,256523584768.8,
DEU,W00,84,2015,Import,134131222800.66,
DEU,W00,85,2013,Import,167543.16,
DEU,W00,85,2013,Export,142979931440.18,
DEU,W00,85,2014,Import,908.83,
DEU,W00,85,2014,Export,147300174083.81,
DEU,W00,85,2015,Import,304618.52,
DEU,W00,87,2013,Import,1988.0,
DEU,W00,87,2013,Export,243242057024.86,
DEU,W00,87,2014,Import,84386.87,
DEU,W00,87,2014,Export,259437100144.23,
DEU,W00,87,2015,Import,100285891942.43,
DEU,W00,87,2015,Export,241896644310.37,
DEU,W00,87,2016,Import,500.13,
DEU,W00,30,2013,Import,7894.9,
DEU,W00,30,2013,Export,74817966856.4,
DEU,W00,30,2014,Import,67.76,
DEU,W00,30,2014,Export,79703686463.97,
DEU,W00,30,2015,Import,45670789181.67,
DEU,W00,30,2015,Export,75777299205.11,
DEU,W00,30,2016,Import,1778.13,
FRA,W00,27,2013,Export,22238999706.0,
FRA,W00,27,2013,Import,110531862306.0,
FRA,W00,27,2014,Import,96195930849.0,
FRA,W00,27,2014,Export,21985881378.0,
FRA,W00,27,2015,Import,59620253841.0,
FRA,W00,27,2015,Export,14599804497.0,
FRA,W00,27,2016,Export,11284671341.0,
FRA,W00,27,2016,Import,47087631135.0,
FRA,W00,27,2017,Import,18572882.27,
FRA,W00,27,2017,Export,14663206985.74,
FRA,W00,27,2018,Import,73886235683.25,
FRA,W00,27,2018,Export,18728227489.74,
FRA,W00,27,2019,Export,15457493684.26,
FRA,W00,27,2019,Import,708768682.37,
FRA,W00,27,2020,Import,23264425.73,
FRA,W00,27,2020,Export,11350481530.93,
FRA,W00,84,2013,Export,65193099285.0,
FRA,W00,84,2013,Import,74910198486.0,
FRA,W00,84,2014,Import,74623060114.0,
FRA,W00,84,2014,Export,66285536656.0,
FRA,W00,84,2015,Import,66190540439.0,
FRA,W00,84,2015,Export,56899579418.0,
FRA,W00,84,2016,Export,57320215698.0,
FRA,W00,84,2016,Import,68299439587.0,
FRA,W00,84,2017,Import,1555234.43,
FRA,W00,84,2017,Export,60791534011.48,
FRA,W00,84,2018,Import,83733278099.39,
FRA,W00,84,2018,Export,67687070315.01,
FRA,W00,84,2019,Import,2082469919.38,
FRA,W00,85,2013,Export,44769529555.0,
FRA,W00,85,2013,Import,55877397058.0,
FRA,W00,85,2014,Import,55454250264.0,
FRA,W00,85,2014,Export,44036244244.0,
FRA,W00,85,2015,Import,51097374958.0,
FRA,W00,85,2015,Export,39489916234.0,
FRA,W00,85,2016,Export,39173170195.0,
FRA,W00,85,2016,Import,51746798867.0,
FRA,W00,85,2017,Import,913369.72,
FRA,W00,85,2017,Export,41826957101.86,
FRA,W00,85,2018,Import,58296154924.54,
FRA,W00,85,2018,Export,44880309826.74,
FRA,W00,85,2019,Import,554131298.55,
FRA,W00,85,2019,Export,43506110116.09,
FRA,W00,87,2013,Export,46542936783.0,
FRA,W00,87,2013,Import,57237079422.0,
FRA,W00,87,2014,Import,58261276394.0,
FRA,W00,87,2014,Export,47618291633.0,
FRA,W00,87,2015,Import,54323083625.0,
FRA,W00,87,2015,Export,43720973056.0,
FRA,W00,87,2016,Export,45382766347.0,
FRA,W00,87,2016,Import,59272019578.0,
FRA,W00,87,2017,Import,890363.82,
FRA,W00,87,2017,Export,51058254602.84,
FRA,W00,87,2018,Import,73951653705.16,
FRA,W00,87,2018,Export,56426007206.19,
FRA,W00,87,2019,Import,21430070.04,
FRA,W00,87,2019,Export,52817549290.13,
FRA,W00,87,2020,Import,195833696.03,
FRA,W00,87,2020,Export,47141422484.64,
FRA,W00,30,2013,Export,37047762179.0,
FRA,W00,30,2013,Import,26059756217.0,
FRA,W00,30,2014,Import,27851925845.0,
FRA,W00,30,2014,Export,35160831198.0,
FRA,W00,30,2015,Import,22194409035.0,
FRA,W00,30,2015,Export,29893562266.0,
FRA,W00,30,2016,Export,30126331008.0,
FRA,W00,30,2016,Import,22067812927.0,
FRA,W00,30,2017,Import,139.96,
FRA,W00,30,2017,Export,31407170283.24,
FRA,W00,30,2018,Import,25246928632.18,
FRA,W00,30,2018,Export,33851774643.03,
FRA,W00,30,2019,Import,25187821943.17,
FRA,W00,30,2019,Export,35614058555.84,
FRA,W00,30,2020,Import,9346.35,
FRA,W00,30,2020,Export,40500419733.63,
JPN,W00,27,2013,Import,281585331516.0,
JPN,W00,27,2013,Export,16682632469.0,
JPN,W00,27,2014,Import,262106099988.0,
JPN,W00,27,2014,Export,15824800763.0,
JPN,W00,27,2015,Import,128287250760.0,
JPN,W00,27,2015,Export,11380089464.0,
JPN,W00,27,2016,Import,110878112125.0,
JPN,W00,27,2016,Export,9372170034.0,
JPN,W00,27,2017,Import,141301048151.39,
JPN,W00,27,2017,Export,11378828781.29,
JPN,W00,27,2018,Import,174784734053.21,
JPN,W00,27,2018,Export,13362085936.9,
JPN,W00,27,2019,Import,155622813677.82,
JPN,W00,27,2019,Export,14010929791.99,
JPN,W00,27,2020,Import,105482658408.98,
JPN,W00,27,2020,Export,7628748831.65,
JPN,W00,27,2021,Import,154729669753.15,
JPN,W00,27,2021,Export,10228412816.77,
JPN,W00,27,2022,Import,254657779836.48,
JPN,W00,27,2022,Export,18248127393.81,
JPN,W00,27,2023,Import,194666525342.26,
JPN,W00,27,2023,Export,12726473279.25,
JPN,W00,84,2013,Export,135210901829.0,
JPN,W00,84,2013,Import,62315608199.0,
JPN,W00,84,2014,Export,132442708992.0,
JPN,W00,84,2014,Import,65041606898.0,
JPN,W00,84,2015,Export,117641750139.0,
JPN,W00,84,2015,Import,59542453105.0,
JPN,W00,84,2016,Import,59466102716.0,
JPN,W00,84,2016,Export,123979702084.0,
JPN,W00,84,2017,Import,65241118136.91,
JPN,W00,84,2017,Export,138403852125.67,
JPN,W00,84,2018,Import,72864580567.25,
JPN,W00,84,2018,Export,147924925661.86,
JPN,W00,84,2019,Export,137046931787.77,
JPN,W00,84,2019,Import,70551792848.78,
JPN,W00,84,2020,Import,67060148368.81,
JPN,W00,84,2020,Export,121726877114.29,
JPN,W00,84,2021,Export,147305237372.44,
JPN,W00,84,2021,Import,71160685706.68,
JPN,W00,84,2022,Export,141799186239.42,
JPN,W00,84,2022,Import,71780959254.63,
JPN,W00,84,2023,Export,129710720741.15,
JPN,W00,84,2023,Import,69312562729.61,
JPN,W00,85,2013,Export,108269704740.0,
JPN,W00,85,2013,Import,96790537639.0,
JPN,W00,85,2014,Export,104055254008.0,
JPN,W00,85,2014,Import,99346235146.0,
JPN,W00,85,2015,Export,95606834469.0,
JPN,W00,85,2015,Import,90248027241.0,
JPN,W00,85,2016,Import,89834015263.0,
JPN,W00,85,2016,Export,98151189242.0,
JPN,W00,85,2017,Import,97718392775.35,
JPN,W00,85,2017,Export,105553813807.13,
JPN,W00,85,2018,Import,101155630303.91,
JPN,W00,85,2018,Export,109412944192.98,
JPN,W00,85,2019,Export,103011213712.49,
JPN,W00,85,2019,Import,98810192453.3,
JPN,W00,85,2020,Import,96692862627.78,
JPN,W00,85,2020,Export,102554256405.84,
JPN,W00,85,2021,Export,118923309227.91,
JPN,W00,85,2021,Import,113407019676.08,
JPN,W00,85,2022,Import,120091886503.35,
JPN,W00,85,2022,Export,113343077457.22,
JPN,W00,85,2023,Export,101888300034.53,
JPN,W00,85,2023,Import,115086540478.1,
JPN,W00,87,2013,Export,148549339490.0,
JPN,W00,87,2013,Import,21158822326.0,
JPN,W00,87,2014,Export,142513899118.0,
JPN,W00,87,2014,Import,21566266531.0,
JPN,W00,87,2015,Export,134041242741.0,
JPN,W00,87,2015,Import,19109584737.0,
JPN,W00,87,2016,Import,20893783834.0,
JPN,W00,87,2016,Export,141798537822.0,
JPN,W00,87,2017,Import,22417537007.86,
JPN,W00,87,2017,Export,146235261629.79,
JPN,W00,87,2018,Import,24594800942.31,
JPN,W00,87,2018,Export,154065458376.13,
JPN,W00,87,2019,Export,148807656468.99,
JPN,W00,87,2019,Import,23764748958.42,
JPN,W00,87,2020,Import,19784263164.86,
JPN,W00,87,2020,Export,122541546962.83,
JPN,W00,87,2021,Export,137837484232.02,
JPN,W00,87,2021,Import,23084284147.21,
JPN,W00,87,2022,Import,22097714102.11,
JPN,W00,87,2022,Export,135704150095.25,
JPN,W00,87,2023,Export,157301991120.57,
JPN,W00,87,2023,Import,24895147500.44,
JPN,W00,30,2013,Export,3243026863.0,
JPN,W00,30,2013,Import,20864257715.0,
JPN,W00,30,2014,Export,2922619180.0,
JPN,W00,30,2014,Import,19899056571.0,
JPN,W00,30,2015,Export,3409771753.0,
JPN,W00,30,2015,Import,23186439974.0,
JPN,W00,30,2016,Import,24387663582.0,
JPN,W00,30,2016,Export,4064045834.0,
JPN,W00,30,2017,Import,22450540870.03,
JPN,W00,30,2017,Export,4556714828.8,
JPN,W00,30,2018,Import,25676381894.22,
JPN,W00,30,2018,Export,5545570971.3,
JPN,W00,30,2019,Export,6369035717.9,
JPN,W00,30,2019,Import,27321972362.98,
JPN,W00,30,2020,Import,28641622388.97,
JPN,W00,30,2020,Export,7508561700.7,
JPN,W00,30,2021,Export,7568639961.18,
JPN,W00,30,2021,Import,37288913304.11,
JPN,W00,30,2022,Import,39038229698.71,
JPN,W00,30,2022,Export,7440118538.35,
JPN,W00,30,2023,Export,7627495437.78,
JPN,W00,30,2023,Import,30825491903.74,
CAN,W00,27,2013,Export,120476544980.0,
CAN,W00,27,2013,Import,50276770763.0,
CAN,W00,27,2014,Import,47806725228.0,
CAN,W00,27,2014,Export,128817557942.0,
CAN,W00,27,2015,Import,284172.86,
CAN,W00,27,2015,Export,77586292497.4,
CAN,W00,27,2016,Import,1346642041.69,
CAN,W00,27,2016,Export,62277472061.0,
CAN,W00,27,2017,Import,30137532772.6,
CAN,W00,27,2017,Export,84585170018.74,
CAN,W00,27,2018,Import,27330569.93,
CAN,W00,27,2018,Export,99688043183.83,
CAN,W00,27,2019,Export,98674557645.7,
CAN,W00,27,2019,Import,638577.2,
CAN,W00,84,2013,Export,31088757384.0,
CAN,W00,84,2013,Import,65794411367.0,
CAN,W00,84,2014,Import,67555368111.0,
CAN,W00,84,2014,Export,32644194097.0,
CAN,W00,84,2015,Export,31097519953.35,
CAN,W00,84,2015,Import,968795144.03,
CAN,W00,84,2016,Import,1935.49,
CAN,W00,84,2016,Export,29978998805.03,
CAN,W00,84,2017,Export,32248890256.39,
CAN,W00,84,2017,Import,63441750606.95,
CAN,W00,85,2013,Export,14068785284.0,
CAN,W00,85,2013,Import,45396363114.0,
CAN,W00,85,2014,Import,44090196932.0,
CAN,W00,85,2014,Export,13642592723.0,
CAN,W00,85,2015,Import,52513.84,
CAN,W00,85,2015,Export,13204873709.84,
CAN,W00,85,2016,Import,98724275.18,
CAN,W00,85,2016,Export,12623730294.79,
CAN,W00,85,2017,Import,1812.32,
CAN,W00,87,2013,Export,59276391154.0,
CAN,W00,87,2013,Import,71678995594.0,
CAN,W00,87,2014,Import,70526487535.0,
CAN,W00,87,2014,Export,59993113868.0,
CAN,W00,87,2015,Import,23419840.97,
CAN,W00,87,2015,Export,60281960341.29,
CAN,W00,87,2016,Import,14305.28,
CAN,W00,87,2016,Export,64254480591.94,
CAN,W00,87,2017,Export,62319693439.38,
CAN,W00,87,2017,Import,74321030535.17,
CAN,W00,87,2018,Import,83186224.27,
CAN,W00,87,2018,Export,60438654807.14,
CAN,W00,87,2019,Import,3530.32,
CAN,W00,87,2019,Export,61370947891.09,
CAN,W00,30,2013,Export,5433161752.0,
CAN,W00,30,2013,Import,12114262321.0,
CAN,W00,30,2014,Import,12478392782.0,
CAN,W00,30,2014,Export,7068651990.0,
CAN,W00,30,2015,Import,6.26,
CAN,W00,30,2015,Export,7718661342.98,
CAN,W00,30,2016,Import,5.28,
CAN,W00,30,2016,Export,8392429511.46,
CAN,W00,30,2017,Export,6265450603.05,
CAN,W00,30,2017,Import,11710909646.2,
