country_code,year,gdp_usd,gdp_growth_pct,inflation_pct,population
BRA,2013,2472819362043.74,3.005,6.204,198478299
BRA,2014,2456043766032.38,0.504,6.329,200085127
BRA,2015,1802211999456.42,-3.546,9.03,201675532
BRA,2016,1795693265999.04,-3.276,8.739,203218114
BRA,2017,2063514688805.78,1.323,3.446,204703445
BRA,2018,1916933708352.71,1.784,3.665,206107261
BRA,2019,1873288158838.63,1.221,3.733,207455459
BRA,2020,1476107292151.95,-3.277,3.212,208660842
BRA,2021,1670647464062.96,4.763,8.302,209550294
BRA,2022,1951923832083.87,3.017,9.28,210306415
BRA,2023,2191131869706.02,3.242,4.594,211140729
CAN,2013,1846597421834.98,2.326,0.938,35080992
CAN,2014,1805749878439.94,2.873,1.907,35434066
CAN,2015,1556508816217.14,0.65,1.125,35704498
CAN,2016,1527994741907.43,1.039,1.429,36110803
CAN,2017,1649265644244.09,3.034,1.597,36545075
CAN,2018,1725329192783.02,2.743,2.268,37072620
CAN,2019,1743725183672.52,1.908,1.949,37618495
CAN,2020,1655684730000.19,-5.038,0.717,38028638
CAN,2021,2022378748423.23,5.951,3.395,38239864
CAN,2022,2190411080134.32,4.189,6.803,38935934
CAN,2023,2173339670064.33,1.529,3.879,40083484
CHN,2013,9743124247267.24,7.779,2.621,1363240000
CHN,2014,10674533168257.4,7.462,1.922,1371860000
CHN,2015,11280814787468.9,6.979,1.437,1379860000
CHN,2016,11456024084962.0,6.776,2.0,1387790000
CHN,2017,12537559062282.9,6.891,1.593,1396215000
CHN,2018,14147765772963.8,6.757,2.075,1402760000
CHN,2019,14560167101283.4,6.069,2.899,1407745000
CHN,2020,14996414166715.1,2.34,2.419,1411100000
CHN,2021,18201698719564.0,8.57,0.981,1412360000
CHN,2022,18316765021690.2,3.134,1.974,1412175000
CHN,2023,18270356654533.2,5.415,0.235,1410710000
DEU,2013,3807023797050.99,0.397,1.505,80645605
DEU,2014,3964870735760.77,2.18,0.907,80982500
DEU,2015,3425099578746.09,1.663,0.514,81686611
DEU,2016,3536787895179.0,2.222,0.492,82348669
DEU,2017,3765351626105.89,2.798,1.509,82657002
DEU,2018,4055433215301.96,1.136,1.732,82905782
DEU,2019,3959894794039.21,0.978,1.446,83092962
DEU,2020,3941398957073.94,-4.132,0.145,83160871
DEU,2021,4355251953410.78,3.91,3.067,83196078
DEU,2022,4201021706478.62,1.809,6.873,83177813
DEU,2023,4562207532490.28,-0.87,5.946,83287273
FRA,2013,2816077607875.26,0.782,0.864,65997932
FRA,2014,2861236112552.42,0.998,0.508,66312067
FRA,2015,2442483452642.5,1.067,0.038,66548272
FRA,2016,2470407619777.13,0.86,0.183,66724104
FRA,2017,2588868323334.71,2.084,1.032,66918020
FRA,2018,2781576320884.39,1.646,1.851,67158348
FRA,2019,2722793515171.76,2.027,1.108,67382061
FRA,2020,2647926055110.05,-7.441,0.476,67601110
FRA,2021,2966433692008.09,6.882,1.642,67842811
FRA,2022,2794788137066.94,2.717,5.222,68184457
FRA,2023,3056250648138.29,1.439,4.878,68372286
GBR,2013,2796908333283.39,1.718,2.292,64139000
GBR,2014,3085362169410.29,3.16,1.451,64620000
GBR,2015,2945579890258.46,2.14,0.368,65088000
GBR,2016,2706807606538.73,2.207,1.008,65607000
GBR,2017,2699118387873.1,3.023,2.558,65966000
GBR,2018,2897028009916.05,1.551,2.293,66289000
GBR,2019,2875710080015.3,1.256,1.738,66631000
GBR,2020,2724001478304.59,-10.048,0.989,66744000
GBR,2021,3194559188925.93,8.543,2.518,66984000
GBR,2022,3181244350465.41,5.15,7.922,67604000
GBR,2023,3420796653789.08,0.272,6.794,68492000
IND,2013,1856721507621.58,6.386,10.018,1295829511
IND,2014,2039126479154.52,7.41,6.666,1312277191
IND,2015,2103588360044.94,7.996,4.907,1328024498
IND,2016,2294796885663.16,8.256,4.948,1343944296
IND,2017,2651474262755.45,6.795,3.328,1359657400
IND,2018,2702929641648.74,6.454,3.939,1374659064
IND,2019,2835606256558.19,3.871,3.73,1389030312
IND,2020,2674851578587.27,-5.778,6.623,1402617695
IND,2021,3167270623260.47,9.69,5.131,1414203896
IND,2022,3346107287730.93,7.609,6.699,1425423212
IND,2023,3638489096033.86,9.191,5.649,1438069596
ITA,2013,2153225581941.46,-1.818,1.22,60311613
ITA,2014,2173255507985.84,-0.001,0.241,60320707
ITA,2015,1845428048839.1,0.886,0.039,60229605
ITA,2016,1887111188176.93,1.236,-0.094,60115223
ITA,2017,1970720904584.71,1.604,1.227,60002252
ITA,2018,2099435266458.67,0.827,1.137,60148658
ITA,2019,2019606796583.53,0.429,0.611,59729081
ITA,2020,1907481094079.23,-8.868,-0.138,59438851
ITA,2021,2179207773596.09,8.931,1.874,59133173
ITA,2022,2104067630319.46,4.821,8.201,59013667
ITA,2023,2316727999333.18,0.976,5.622,58984216
JPN,2013,5212328181166.18,2.005,0.335,127445000
JPN,2014,4896994405353.29,0.296,2.759,127276000
JPN,2015,4444930651964.18,1.561,0.795,127141000
JPN,2016,5003677627544.24,0.754,-0.127,127076000
JPN,2017,4930837369151.42,1.675,0.484,126972000
JPN,2018,5040880939324.86,0.643,0.989,126811000
JPN,2019,5117993853016.51,-0.402,0.469,126633000
JPN,2020,5054068005376.28,-4.169,-0.025,126261000
JPN,2021,5039148168861.22,2.697,-0.233,125681593
JPN,2022,4262463317796.53,0.942,2.498,125124989
JPN,2023,4213167237905.83,1.475,3.268,124516650
MEX,2013,1327436290282.67,0.852,3.806,118343573
MEX,2014,1364507717614.13,2.504,4.019,119784261
MEX,2015,1213294467716.88,2.702,2.721,121072306
MEX,2016,1112233497452.7,1.772,2.822,122251351
MEX,2017,1190721475906.0,1.872,6.041,123400057
MEX,2018,1256300182879.73,1.972,4.899,124573711
MEX,2019,1304106203902.45,-0.393,3.636,125762982
MEX,2020,1121064767308.42,-8.354,3.397,126799054
MEX,2021,1316569466685.95,6.048,5.689,127648148
MEX,2022,1466934724293.06,3.71,7.896,128613117
MEX,2023,1798317581486.88,3.354,5.528,129739759
USA,2013,16843190993000.0,2.118,1.465,316726282
USA,2014,17550680174000.0,2.524,1.622,319257560
USA,2015,18206020741000.0,2.946,0.119,321815121
USA,2016,18695110842000.0,1.819,1.262,324353340
USA,2017,19477336549000.0,2.458,2.13,326608609
USA,2018,20533057312000.0,2.967,2.443,328529577
USA,2019,21380976119000.0,2.584,1.812,330226227
USA,2020,21060473613000.0,-2.163,1.234,331577720
USA,2021,23315080560000.0,6.055,4.698,332099760
USA,2022,25604848907611.0,2.512,8.003,334017321
USA,2023,27292170793214.4,2.888,4.116,336806231
ZAF,2013,400886013595.57,2.485,5.78,54678791
ZAF,2014,381198869776.11,1.414,6.133,55594838
ZAF,2015,346709790458.56,1.322,4.519,56723537
ZAF,2016,323585509674.48,0.665,6.603,57259551
ZAF,2017,381448814653.46,1.158,5.186,57635162
ZAF,2018,405260723892.52,1.557,4.51,58613001
ZAF,2019,389330032224.27,0.26,4.103,59587885
ZAF,2020,337974655408.06,-6.169,3.232,60562381
ZAF,2021,419986284375.37,4.859,4.619,61502603
ZAF,2022,407596043067.88,2.058,7.04,62378410
ZAF,2023,381440724491.23,0.806,6.075,63212384
